City,Country,Lat,Lng,Max Temp,Min Temp,Huidity,Cloudiness,Wind Speed,Current Description
Constitucion,Cl,-35.3333,-72.4167,53.65,53.65,72,100,5.39,overcast clouds
Bardiyah,Ly,31.7561,25.0865,79.03,79.03,71,0,11.41,clear sky
Bathsheba,Bb,13.2167,-59.5167,86.61,85.05,80,40,20.71,scattered clouds
Port elizabeth,Za,-33.918,25.5701,60.31,55.09,76,75,2.3,broken clouds
Bengkulu,Id,-3.8004,102.2655,75.99,75.99,90,86,4.16,overcast clouds
Manta,Ec,-0.95,-80.7333,76.78,76.78,78,100,4.61,overcast clouds
Formosa do rio preto,Br,-11.0483,-45.1931,89.01,89.01,22,49,9.64,scattered clouds
Ribeira grande,Pt,38.5167,-28.7,70.2,70.2,73,75,9.22,broken clouds
Nishihara,Jp,26.1842,127.7558,79.88,77.68,92,75,11.5,broken clouds
Longyearbyen,Sj,78.2186,15.6401,49.84,49.84,76,75,9.22,broken clouds
Pevek,Ru,69.7008,170.3133,34.16,34.16,92,100,2.3,overcast clouds
Chara,Ru,56.9064,118.2631,68.83,68.83,72,84,2.55,light rain
Sandwick,Gb,60.0,-1.25,53.42,53.42,87,75,14.97,broken clouds
Barabai,Id,-2.5833,115.3833,75.87,75.87,95,98,2.24,overcast clouds
Yellowknife,Ca,62.456,-114.3525,61.32,60.57,48,75,12.66,broken clouds
Chokurdakh,Ru,70.6333,147.9167,53.94,53.94,81,100,10.04,overcast clouds
Mataura,Nz,-46.1927,168.8643,46.47,46.47,97,3,2.44,clear sky
Caravelas,Br,-17.7125,-39.2481,77.99,77.99,55,39,7.52,scattered clouds
Namibe,Ao,-15.1961,12.1522,65.03,65.03,82,40,16.11,scattered clouds
Arraial do cabo,Br,-22.9661,-42.0278,84.16,82.26,51,0,11.5,clear sky
Busselton,Au,-33.65,115.3333,52.39,52.39,66,0,12.82,clear sky
San andres,Co,12.5847,-81.7006,86.02,86.02,74,75,13.8,broken clouds
Tiksi,Ru,71.6872,128.8694,36.32,36.32,97,100,5.66,overcast clouds
Thompson,Ca,55.7435,-97.8558,59.16,59.16,82,100,3.44,overcast clouds
Ayolas,Py,-27.4,-56.9,79.77,79.77,61,30,7.76,scattered clouds
Viedma,Ar,-40.8135,-62.9967,54.77,54.77,26,0,16.22,clear sky
Lannion,Fr,48.75,-3.4167,64.94,60.78,67,75,12.66,broken clouds
Talnakh,Ru,69.4865,88.3972,51.21,51.21,70,41,12.68,scattered clouds
New norfolk,Au,-42.7826,147.0587,43.92,42.3,88,85,2.91,overcast clouds
Sur,Om,22.5667,59.5289,83.88,83.88,79,99,18.12,overcast clouds
Aykhal,Ru,66.0,111.5,62.06,62.06,98,100,15.66,light rain
Jalu,Ly,29.0331,21.5482,93.52,93.52,22,0,17.9,clear sky
Ahipara,Nz,-35.1667,173.1667,50.76,50.76,81,18,4.09,few clouds
Touros,Br,-5.1989,-35.4608,72.72,72.72,95,100,9.48,light rain
Wattegama,Lk,6.7989,81.4808,75.33,75.33,93,90,2.55,overcast clouds
Mehamn,No,71.0357,27.8492,58.95,55.31,77,75,13.8,broken clouds
Guerrero negro,Mx,27.9769,-114.0611,74.01,74.01,61,0,18.66,clear sky
Clyde river,Ca,70.4692,-68.5914,44.83,44.83,81,20,12.66,few clouds
Mackay,Au,-21.15,149.2,56.68,56.68,88,100,13.62,light rain
Khatanga,Ru,71.9667,102.5,43.61,43.61,79,98,16.11,overcast clouds
Orgovany,Hu,46.7509,19.4726,90.86,89.11,27,1,7.61,clear sky
Takoradi,Gh,4.8845,-1.7554,78.06,78.06,76,61,10.11,broken clouds
Tulu bolo,Et,8.6667,38.2167,55.85,55.85,92,100,3.36,moderate rain
Ejea de los caballeros,Es,42.1263,-1.1372,77.22,77.22,51,31,9.26,scattered clouds
Tuktoyaktuk,Ca,69.4541,-133.0374,77.0,77.0,53,75,10.36,broken clouds
Kihei,Us,20.785,-156.4656,75.85,73.98,80,40,14.97,scattered clouds
Georgetown,My,5.4112,100.3354,84.13,81.99,81,20,3.44,few clouds
Cherskiy,Ru,68.75,161.3,44.01,44.01,97,100,1.07,overcast clouds
Darhan,Mn,49.4867,105.9228,63.19,63.19,56,100,8.66,light rain
Port blair,In,11.6667,92.75,82.92,82.92,83,100,14.65,overcast clouds
Coahuayana,Mx,18.7333,-103.6833,91.51,91.51,55,31,6.98,scattered clouds
Narsaq,Gl,60.9167,-46.05,62.82,62.82,60,96,4.45,overcast clouds
Epe,Ng,6.5841,3.9834,77.67,77.67,78,37,8.41,scattered clouds
Iqaluit,Ca,63.7506,-68.5145,49.73,49.69,66,100,11.5,moderate rain
Hilo,Us,19.7297,-155.09,85.28,71.33,85,20,5.75,few clouds
Souillac,Mu,-20.5167,57.5167,70.18,70.18,88,75,14.97,light intensity shower rain
Saint-philippe,Re,-21.3585,55.7679,71.19,67.21,82,85,16.46,light rain
Leningradskiy,Ru,69.3833,178.4167,43.52,43.52,81,100,3.65,overcast clouds
Cape town,Za,-33.9258,18.4232,55.89,52.11,86,40,3.44,scattered clouds
La macarena,Co,2.1837,-73.7849,83.8,83.8,66,62,2.77,broken clouds
Dikson,Ru,73.5069,80.5464,33.03,33.03,93,78,8.48,broken clouds
Taoudenni,Ml,22.6783,-3.9836,109.51,109.51,11,79,15.21,broken clouds
Kapaa,Us,22.0752,-159.319,79.12,73.38,77,100,18.41,overcast clouds
Hithadhoo,Mv,-0.6,73.0833,82.76,82.76,76,98,7.38,overcast clouds
Salinopolis,Br,-0.6136,-47.3561,81.61,81.61,78,84,13.42,broken clouds
Fontaine,Fr,45.1984,5.6827,85.89,81.05,43,33,11.99,light rain
Porto novo,Bj,6.4965,2.6036,80.42,80.42,78,67,8.84,broken clouds
Namatanai,Pg,-3.6667,152.4333,78.24,78.24,82,5,8.03,light rain
Mayskiy,Ru,47.6931,40.1025,74.61,74.61,51,68,5.66,broken clouds
Ogbomosho,Ng,8.133,4.25,82.58,82.58,78,81,4.36,broken clouds
Saskylakh,Ru,71.9167,114.0833,48.81,48.81,61,100,13.58,overcast clouds
Camopi,Gf,3.1655,-52.3158,85.66,85.66,63,90,4.7,overcast clouds
East london,Za,-33.0153,27.9116,59.94,59.94,94,100,12.66,overcast clouds
Saldanha,Za,-33.0117,17.9442,53.65,53.65,82,10,5.88,clear sky
Butaritari,Ki,3.0707,172.7902,83.1,83.1,73,61,18.14,broken clouds
Angoche,Mz,-16.2325,39.9086,72.3,72.3,74,26,7.14,scattered clouds
Sinnamary,Gf,5.3833,-52.95,83.82,83.82,70,98,10.71,overcast clouds
Krasnoselkup,Ru,65.7,82.4667,55.04,55.04,55,100,16.22,overcast clouds
Rugeley,Gb,52.7593,-1.9369,66.49,61.09,65,92,10.56,overcast clouds
Nardaran,Az,40.5561,50.0056,74.84,74.84,50,20,0.0,few clouds
Shingu,Jp,33.7333,135.9833,74.35,74.35,93,100,3.83,moderate rain
Manggar,Id,-2.8833,108.2667,80.73,80.73,83,34,4.72,scattered clouds
Iberia,Us,29.9502,-91.7507,92.08,87.8,66,75,0.0,broken clouds
Geraldton,Au,-28.7667,114.6,39.61,39.61,81,0,9.22,clear sky
Luwuk,Id,-0.9516,122.7875,77.7,77.7,91,99,4.81,light rain
Coihaique,Cl,-45.5752,-72.0662,34.41,33.75,93,100,4.61,fog
Nelson bay,Au,-32.7167,152.15,62.01,55.99,99,97,13.0,overcast clouds
Svetlogorsk,By,52.6333,29.7333,70.66,70.66,69,47,2.64,scattered clouds
Goure,Ne,13.9835,10.2704,92.91,92.91,29,100,16.26,overcast clouds
Atuona,Pf,-9.8,-139.0333,77.76,77.76,74,31,21.36,scattered clouds
Tual,Id,-5.6667,132.75,76.6,76.6,90,100,3.51,light rain
Batagay-alyta,Ru,67.8006,130.4114,60.66,60.66,63,89,3.22,overcast clouds
Wucheng,Cn,29.6008,118.175,75.9,75.9,97,100,1.23,light rain
Bredasdorp,Za,-34.5322,20.0403,50.32,50.32,83,63,4.59,broken clouds
Saint-pierre,Re,-21.3393,55.4781,71.28,67.28,78,100,23.02,overcast clouds
Ayame,Ci,5.6083,-3.1563,76.98,76.98,78,73,6.98,broken clouds
Saint george,Us,37.1041,-113.5841,95.43,92.95,15,0,18.41,clear sky
Nieuw amsterdam,Sr,5.8833,-55.0833,90.14,89.62,55,40,0.0,scattered clouds
Sokoni,Tz,-6.4333,39.55,78.66,78.66,77,29,17.6,light rain
Luderitz,Na,-26.6481,15.1594,59.27,59.27,67,0,11.74,clear sky
Acajutla,Sv,13.5928,-89.8275,77.5,77.5,88,100,5.48,overcast clouds
Aleksandrov gay,Ru,50.147,48.5704,62.96,62.96,78,96,13.62,overcast clouds
Sovetskaya gavan,Ru,48.9723,140.2878,56.25,56.25,99,100,2.24,overcast clouds
Kodiak,Us,57.79,-152.4072,54.91,54.91,88,100,4.61,mist
Castro,Br,-24.7911,-50.0119,72.95,72.95,49,0,7.29,clear sky
Barrow,Us,71.2906,-156.7887,37.42,37.42,93,100,11.5,overcast clouds
Arlit,Ne,18.7369,7.3853,103.12,103.12,6,2,12.64,clear sky
Pisco,Pe,-13.7,-76.2167,60.85,60.85,88,100,3.44,mist
Avarua,Ck,-21.2078,-159.775,66.25,66.25,94,2,1.14,clear sky
Muroto,Jp,33.2833,134.15,76.68,76.68,86,100,3.4,moderate rain
Ancud,Cl,-41.8697,-73.8203,46.22,46.22,89,100,23.38,heavy intensity rain
Guilin,Cn,25.2819,110.2864,77.11,77.11,99,100,1.74,overcast clouds
Bandarbeyla,So,9.4942,50.8122,78.13,78.13,71,20,34.29,few clouds
Nizhniy odes,Ru,63.6445,54.856,51.28,51.28,62,81,5.12,broken clouds
Klaksvik,Fo,62.2266,-6.589,50.92,50.92,86,98,20.76,overcast clouds
Feijo,Br,-8.1642,-70.3536,92.5,92.5,39,50,3.96,scattered clouds
Sheopur,In,25.6667,76.7,89.47,89.47,63,82,7.58,broken clouds
Vestmannaeyjar,Is,63.4427,-20.2734,52.79,52.79,71,75,23.02,broken clouds
Kruisfontein,Za,-34.0033,24.7314,52.88,52.88,87,55,1.83,broken clouds
Havre-saint-pierre,Ca,50.2334,-63.5986,59.36,53.6,67,75,23.02,broken clouds
Venezuela,Ve,8.0,-66.0,88.36,88.36,57,85,15.68,overcast clouds
Mount isa,Au,-20.7333,139.5,49.77,49.77,71,0,12.66,clear sky
Umba,Ru,66.6871,34.3429,56.82,56.82,82,85,13.04,overcast clouds
Emerald,Au,-23.5333,148.1667,51.35,51.35,94,100,2.13,overcast clouds
Juneau,Us,58.3019,-134.4197,69.84,63.99,84,75,5.75,broken clouds
Srednekolymsk,Ru,67.45,153.6833,51.15,51.15,65,100,6.62,overcast clouds
Jakar,Bt,27.5492,90.7525,58.68,58.68,94,100,2.04,overcast clouds
Boguchany,Ru,58.3814,97.4531,51.98,51.98,97,32,3.89,scattered clouds
Ewa beach,Us,21.3156,-158.0072,77.09,73.4,75,100,10.36,overcast clouds
Ixtapa,Mx,20.7,-105.2,85.23,85.23,79,75,8.05,broken clouds
Baykit,Ru,61.67,96.37,50.63,50.63,97,19,3.42,few clouds
Illela,Ng,13.7292,5.2975,97.32,97.32,29,50,9.66,scattered clouds
Dunedin,Nz,-45.8742,170.5036,44.8,44.8,69,5,6.11,clear sky
Lushnje,Al,40.9419,19.705,84.92,84.92,52,31,5.06,scattered clouds
Tilichiki,Ru,60.4667,166.1,45.79,45.79,92,94,4.16,overcast clouds
Livadiya,Ru,42.8692,132.6764,65.7,65.7,93,32,3.69,scattered clouds
Tiznit,Ma,29.5833,-9.5,75.0,75.0,54,2,6.73,clear sky
Barddhaman,In,23.25,87.85,83.05,83.05,80,80,7.94,broken clouds
Asyut,Eg,27.181,31.1837,92.64,92.64,18,2,8.84,clear sky
Aplahoue,Bj,6.9333,1.6833,77.68,77.68,78,79,6.06,broken clouds
San patricio,Us,28.017,-97.5169,95.07,86.85,42,32,16.33,scattered clouds
Road town,Vg,18.4167,-64.6167,87.89,82.44,83,40,13.8,scattered clouds
Luis correia,Br,-2.8792,-41.6669,89.6,89.6,58,40,11.5,scattered clouds
Santiago del estero,Ar,-27.7951,-64.2615,63.81,63.81,37,75,5.7,broken clouds
Igarka,Ru,67.4667,86.5833,51.26,51.26,76,68,16.64,broken clouds
Bobovdol,Bg,42.3697,23.0172,78.35,78.35,55,28,4.45,scattered clouds
Novoukrayinka,Ua,48.3264,31.5285,74.25,74.25,32,38,5.64,scattered clouds
Vardo,No,70.3705,31.1107,53.58,53.58,94,75,13.8,broken clouds
Ornskoldsvik,Se,63.2909,18.7153,68.95,68.95,68,75,12.66,broken clouds
Auxerre,Fr,47.8,3.5667,76.62,76.62,55,86,4.81,overcast clouds
Tuatapere,Nz,-46.1333,167.6833,39.51,39.51,90,3,4.56,clear sky
Acarau,Br,-2.8856,-40.12,83.8,83.8,66,56,14.65,broken clouds
Bilibino,Ru,68.0546,166.4372,50.45,50.45,79,100,1.86,overcast clouds
Sambava,Mg,-14.2667,50.1667,70.95,70.95,81,45,14.76,light rain
Airai,Id,-8.9266,125.4092,59.58,59.58,96,100,3.94,overcast clouds
Zlitan,Ly,32.4674,14.5687,78.58,78.58,88,5,10.07,clear sky
Issenye,Tz,-2.0,34.3333,68.47,68.47,53,65,3.78,broken clouds
Kahului,Us,20.8947,-156.47,75.85,73.98,79,40,14.97,scattered clouds
Landau,De,49.2075,8.1133,84.61,83.37,40,23,8.63,few clouds
Najran,Sa,17.4924,44.1277,95.65,95.65,33,82,9.89,broken clouds
Pogar,Ru,52.554,33.2591,68.13,68.13,74,80,4.56,broken clouds
Moerai,Pf,-22.4333,-151.3333,72.34,72.34,64,35,8.59,scattered clouds
Ulaanbaatar,Mn,47.9077,106.8832,57.33,57.33,94,40,2.24,scattered clouds
High level,Ca,58.5169,-117.136,69.91,69.91,56,20,2.3,few clouds
Porto torres,It,40.835,8.3972,84.38,84.38,55,74,5.84,broken clouds
Vanavara,Ru,60.34,102.2797,53.4,53.4,87,74,6.04,broken clouds
Mountain home,Us,43.133,-115.6912,78.28,78.28,27,40,10.36,scattered clouds
Gisborne,Nz,-38.6533,178.0042,45.99,45.99,84,1,5.19,clear sky
Florianopolis,Br,-27.6146,-48.5012,72.55,67.14,81,20,6.91,few clouds
San antonio,Us,29.4241,-98.4936,94.06,87.91,54,75,14.97,light intensity drizzle
Rosarito,Mx,32.3333,-117.0333,77.63,65.12,65,17,10.38,few clouds
Sukagawa,Jp,37.2833,140.3833,73.85,70.66,98,100,2.46,light rain
Arman,Ru,59.7,150.1667,54.39,54.39,66,49,3.89,scattered clouds
Gaoua,Bf,10.2992,-3.2508,78.84,78.84,79,94,5.32,light rain
Metro,Id,-5.1131,105.3067,74.48,74.48,91,49,4.12,scattered clouds
La tuque,Ca,47.4334,-72.7824,70.05,70.05,37,39,8.05,scattered clouds
Mianyang,Cn,31.4593,104.7542,75.27,75.27,81,19,2.42,few clouds
Oistins,Bb,13.0667,-59.5333,86.09,84.51,66,40,20.71,scattered clouds
Semirom,Ir,31.4167,51.5667,74.86,74.86,16,6,2.39,clear sky
Aloleng,Ph,16.1307,119.7824,82.78,82.78,78,96,10.04,overcast clouds
Monrovia,Lr,6.3005,-10.7969,77.52,77.52,81,59,12.3,light rain
Vera cruz,Br,-12.6333,-41.0333,78.37,78.37,33,27,11.41,scattered clouds
Torbay,Ca,47.6666,-52.7314,74.28,72.28,73,40,19.57,scattered clouds
Chalon-sur-saone,Fr,46.7833,4.85,74.3,74.3,67,70,6.42,broken clouds
Calatayud,Es,41.3535,-1.6432,79.03,79.03,47,57,11.61,broken clouds
Jamestown,Us,42.097,-79.2353,77.05,71.19,31,0,9.22,clear sky
Evanton,Gb,57.6638,-4.34,58.66,56.86,72,92,8.77,overcast clouds
Nador,Ma,35.174,-2.9287,78.87,73.65,88,40,10.36,fog
Ust-barguzin,Ru,53.45,108.9833,51.1,51.1,96,100,3.02,overcast clouds
Boromo,Bf,11.75,-2.9333,86.54,86.54,54,91,5.53,overcast clouds
Howard springs,Au,-12.497,131.047,69.71,66.81,66,99,11.03,overcast clouds
Hervey bay,Au,-25.2986,152.8535,54.16,54.16,83,100,11.65,moderate rain
Krasnyy chikoy,Ru,50.3643,108.7512,59.2,59.2,96,100,1.95,moderate rain
Traverse city,Us,44.7631,-85.6206,79.0,71.35,37,40,6.91,scattered clouds
Maceio,Br,-9.6658,-35.7353,80.04,80.04,73,75,17.27,broken clouds
Cidreira,Br,-30.1811,-50.2056,59.9,59.9,88,100,10.09,overcast clouds
Potosi,Bo,-19.5836,-65.7531,57.67,57.67,13,11,8.79,few clouds
Orocue,Co,4.7912,-71.3354,80.96,80.96,77,83,3.58,broken clouds
Nanortalik,Gl,60.1432,-45.2371,46.83,46.83,91,99,10.04,overcast clouds
Plastun,Ru,44.7561,136.2939,61.54,61.54,99,87,3.15,overcast clouds
Den helder,Nl,52.9599,4.7593,66.97,63.99,72,75,9.22,broken clouds
Umm lajj,Sa,25.0213,37.2685,87.66,87.66,48,18,4.92,few clouds
Mar del plata,Ar,-38.0023,-57.5575,60.1,55.42,32,0,19.57,clear sky
Zheleznodorozhnyy,Ru,55.7503,38.0042,82.92,80.82,62,33,5.5,scattered clouds
Bozoum,Cf,6.3193,16.3799,72.05,72.05,86,71,3.6,light rain
Sechura,Pe,-5.5569,-80.8222,74.07,74.07,59,11,10.6,few clouds
Leiria,Pt,39.7436,-8.8071,81.75,65.89,74,40,10.36,scattered clouds
Lavrentiya,Ru,65.5833,-171.0,48.0,48.0,91,100,4.7,overcast clouds
Hirara,Jp,24.8,125.2833,82.24,82.24,80,100,10.45,overcast clouds
San policarpo,Ph,12.1791,125.5072,81.05,81.05,79,100,7.9,overcast clouds
Dargaville,Nz,-35.9333,173.8833,49.98,49.98,87,23,3.6,few clouds
Mitsamiouli,Km,-11.3847,43.2844,77.29,77.29,69,20,16.11,few clouds
Samana,Do,19.2056,-69.3369,84.16,82.62,83,75,11.5,broken clouds
Witu,Ke,-2.3889,40.4382,77.16,77.16,78,35,16.8,scattered clouds
Lakes entrance,Au,-37.8811,147.981,44.17,44.17,78,90,1.36,overcast clouds
Prince rupert,Ca,54.3161,-130.3201,60.49,51.49,100,100,2.3,mist
Bangkal,Ph,6.0667,121.0667,78.64,78.64,86,99,2.73,light rain
Vila,Pt,42.0304,-8.1588,68.88,67.69,72,70,3.71,broken clouds
Sola,Vu,-13.8833,167.55,80.51,80.51,77,38,25.43,scattered clouds
Haapiti,Pf,-17.5667,-149.8667,73.13,73.13,64,37,9.64,scattered clouds
Pierre,Us,44.3683,-100.351,74.32,74.32,78,75,14.97,broken clouds
Mehriz,Ir,31.5917,54.4318,93.7,93.7,10,27,3.38,scattered clouds
Dingle,Ph,10.9995,122.6711,79.43,79.43,85,97,5.08,overcast clouds
Okhotsk,Ru,59.3833,143.3,53.33,53.33,84,22,3.24,few clouds
Senj,Hr,44.9894,14.9058,93.87,93.87,62,1,6.87,clear sky
Savannah bight,Hn,16.45,-85.85,82.27,82.27,79,99,17.56,overcast clouds
Cayenne,Gf,4.9333,-52.3333,87.84,87.1,34,40,16.11,scattered clouds
Lagoa,Pt,39.05,-27.9833,64.67,64.67,69,3,12.91,clear sky
Hofn,Is,64.2539,-15.2082,48.72,48.72,66,100,18.1,overcast clouds
Hovd,Mn,48.0056,91.6419,56.61,56.61,55,45,2.89,scattered clouds
Vao,Nc,-22.6667,167.4833,72.43,72.43,73,100,17.2,overcast clouds
Poltavka,Ru,54.3663,71.7632,58.55,58.55,74,75,5.75,broken clouds
Cabo san lucas,Mx,22.8909,-109.9124,92.61,85.05,61,0,4.61,clear sky
Omboue,Ga,-1.5746,9.2618,73.53,73.53,82,58,9.01,broken clouds
Lorengau,Pg,-2.0226,147.2712,80.85,80.85,81,97,7.81,overcast clouds
Bristol,Us,41.8334,-71.1662,84.94,77.45,45,0,10.0,clear sky
Balkhash,Kz,46.844,74.9804,74.91,74.91,31,13,11.95,few clouds
Likasi,Cd,-10.9814,26.7333,61.79,61.79,52,0,3.2,clear sky
Adrar,Mr,20.5022,-10.0711,106.65,106.65,11,11,14.74,few clouds
Marshall,Us,34.3834,-86.3333,91.38,85.75,57,40,5.75,scattered clouds
Dalbandin,Pk,28.8947,64.4101,85.86,85.86,49,73,7.99,broken clouds
Pemba,Mz,-12.974,40.5178,75.25,75.25,66,2,16.93,clear sky
Matay,Eg,28.419,30.7792,92.62,92.62,19,0,7.85,clear sky
Paka,My,4.6374,103.4368,76.98,76.93,100,92,0.0,overcast clouds
Sao joao da barra,Br,-21.6403,-41.0511,82.49,82.49,70,0,15.57,clear sky
Nabire,Id,-3.3667,135.4833,74.89,74.89,93,99,2.55,overcast clouds
Ternate,Id,0.8,127.4,78.85,78.85,86,100,9.42,overcast clouds
Mandera,Ke,3.9366,41.867,83.14,83.14,40,59,13.42,broken clouds
Quatre cocos,Mu,-20.2078,57.7625,69.91,68.09,74,87,22.59,light rain
Ust-koksa,Ru,50.2696,85.6108,45.86,45.86,82,20,0.63,few clouds
Ostrovnoy,Ru,68.0531,39.5131,68.94,68.94,69,0,13.98,clear sky
Rio grande,Br,-32.035,-52.0986,62.71,57.94,73,99,8.59,overcast clouds
Zharkent,Kz,44.1628,80.0,76.64,76.64,21,53,3.65,broken clouds
Jalalpur,Pk,32.6374,74.2183,85.87,85.87,70,20,4.61,smoke
Port moresby,Pg,-9.4431,147.1797,74.62,74.62,100,40,3.44,scattered clouds
Severo-kurilsk,Ru,50.6789,156.125,46.42,46.42,92,51,11.65,broken clouds
Iracoubo,Gf,5.4802,-53.2011,83.21,83.21,73,98,10.18,overcast clouds
Okha,Ru,53.5739,142.9478,55.47,55.47,67,29,4.36,scattered clouds
Hasaki,Jp,35.7333,140.8333,79.2,77.29,79,100,18.05,light rain
Ler,Sd,8.3018,30.1418,71.28,71.28,94,100,8.28,light rain
Qom,Ir,34.6401,50.8764,76.42,76.42,42,0,12.08,clear sky
Kvarkeno,Ru,52.0833,59.725,64.27,64.27,60,97,10.02,light rain
Nikolskoye,Ru,59.7035,30.7861,71.49,70.92,87,82,3.51,broken clouds
Presidencia roque saenz pena,Ar,-26.7852,-60.4388,65.25,65.25,69,100,3.87,overcast clouds
Riyadh,Sa,24.6877,46.7219,100.54,100.54,11,100,10.65,overcast clouds
Invermere,Ca,50.5167,-116.0354,74.71,74.71,47,98,1.66,overcast clouds
Oussouye,Sn,12.485,-16.5469,89.78,87.89,63,93,7.45,overcast clouds
Lufkin,Us,31.3382,-94.7291,96.84,87.93,53,75,6.91,broken clouds
Carnarvon,Au,-24.8667,113.6333,61.61,61.61,33,0,13.76,clear sky
Sabang,Id,5.8933,95.3214,82.65,82.65,76,100,23.67,light rain
Codrington,Au,-38.2667,141.9667,49.64,49.64,85,57,9.66,broken clouds
Tessalit,Ml,20.1986,1.0114,106.07,106.07,6,45,10.0,scattered clouds
Poya,Nc,-21.35,165.15,72.52,72.52,86,58,6.6,broken clouds
Yarmouth,Us,41.7057,-70.2286,81.97,73.02,67,0,6.91,clear sky
Dundee,Gb,56.5,-2.9667,61.59,57.18,65,20,23.02,few clouds
Udachnyy,Ru,66.4167,112.4,62.46,62.46,100,100,16.53,light rain
